Type,Adjective,Noun,ERP_Code,Note,HEX
"DB","tafisa","L492 Black","https://tafisa.ca/en/our-colours/white-chocolate","https://tafisa.ca/sites/default/files/styles/medium/public/2020-04/tafisa_L492%28R%29_24X24_72dpi.jpg?itok=OQw0fMzV","#1e1e1e"
"DB","tafisa","L493 White","","","#f5f5f5"
"DB","tafisa","L733 Winter Cherry","","","#8B5A43"
"DB","tafisa","L530 Monaco","https://tafisa.ca/en/our-colours/latitude-north","https://tafisa.ca/sites/default/files/styles/medium/public/2020-04/tafisa_L530%28A%29_24X24_72dpi.jpg?itok=ODLHhFik","#D2B48C"
"DB","tafisa","M2061 Muse","https://tafisa.ca/en/our-colours/muse","https://tafisa.ca/sites/default/files/styles/medium/public/2026-02/iconiq_24x24_m2061q_muse_muse_med_res.png?itok=maiVnZC8","#C6B190"
"DB","tafisa","M2062 Masterpiece","https://tafisa.ca/en/our-colours/masterpiece","https://tafisa.ca/sites/default/files/styles/medium/public/2026-02/iconiq_24x24_m2062q_mast_chef-doeuvre_med_res.png?itok=9Em7RWzf","#BEA480"
"DB","tafisa","M2063 Emblem","https://tafisa.ca/en/our-colours/emblem","https://tafisa.ca/sites/default/files/styles/medium/public/2026-02/iconiq_24x24_m2063q_emblem_embleme_med_res.png?itok=Ebf05zu1","#A28254"
"DB","tafisa","M2064 Prodigy","https://tafisa.ca/en/our-colours/prodigy","https://tafisa.ca/sites/default/files/styles/medium/public/2026-02/iconiq_24x24_m2064q_prodigy_virtuose_med_res.png?itok=_wNHgKej","#8D775C"
"DB","tafisa","M2065 Maestro","https://tafisa.ca/en/our-colours/maestro","https://tafisa.ca/sites/default/files/styles/medium/public/2026-02/iconiq_24x24_m2065q_maestro_maestro_med_res.png?itok=8pUBsL-y","#755E46"
"DB","tafisa","M2066 Pioneer","https://tafisa.ca/en/our-colours/pioneer","https://tafisa.ca/sites/default/files/styles/medium/public/2026-02/iconiq_24x24_m2066q_pioneer_pionnier_med_res.png?itok=T8lVuy1N","#3F3126"
"DB","tafisa","M203 Black","https://tafisa.ca/en/our-colours/black-7","https://tafisa.ca/sites/default/files/styles/medium/public/2026-03/texture_iconiq_retouche_low-res.png?itok=FaSTpnXk","#1A1B1A"
"DB","tafisa","M763 Morning Dew","https://tafisa.ca/en/our-colours/morning-dew-5","https://tafisa.ca/sites/default/files/styles/medium/public/2026-02/iconiq_24x24_m763q_morning_dew_rosee_du_matin_med_res.png?itok=ticTVbaF","#D4CCC0"
"DB","tafisa","HG2004 Winter Fun!","https://tafisa.ca/en/our-colours/winter-fun-0","https://tafisa.ca/sites/default/files/styles/medium/public/2024-02/M2004%28Y%29-LessGreen.jpg?itok=-EUyJwpY","#E0E1E3"
"DB","tafisa","M2004 Winter Fun!","https://tafisa.ca/en/our-colours/winter-fun","https://tafisa.ca/sites/default/files/styles/medium/public/2020-03/Tafisa_M2004%28Y%29_24X24_72dpi.jpg?itok=EktHgO1F","#F2F2EA"
"DB","tafisa","L565 Fogo Harbour","https://tafisa.ca/en/our-colours/fogo-harbour","https://tafisa.ca/sites/default/files/styles/medium/public/2020-04/tafisa_L565%28R%29_24X24_72dpi.jpg?itok=H0NywpLy","#F5EDDC"
"DB","tafisa","M2003 Weekend Getaway","https://tafisa.ca/en/our-colours/weekend-getaway","https://tafisa.ca/sites/default/files/styles/medium/public/2020-03/tafisa_M2003%28Y%29_24X24_72dpi_1.jpg?itok=WQ08AxFY","#D0C8B7"
"DB","tafisa","M2031 Crème de la Crème","https://tafisa.ca/en/our-colours/creme-de-la-creme","https://tafisa.ca/sites/default/files/styles/medium/public/2018-08/M2031%28B%29-Creme-de-la-Creme_Creme-de-la-Creme-_24x24.jpg?itok=ogGoS9jo","#C7BFAC"
"DB","tafisa","L586 Natural Affinity","https://tafisa.ca/en/our-colours/natural-affinity","https://tafisa.ca/sites/default/files/styles/medium/public/2023-05/L586K%20NaturalAffinity_12x12.jpg?itok=NCER0Jpf","#D2C7B5"
"DB","tafisa","L580 Free Spirit","https://tafisa.ca/en/our-colours/free-spirit","https://tafisa.ca/sites/default/files/styles/medium/public/2020-10/L580%28K%29%20Free%20Spirit_Esprit%20Libre_24X24%20%28Medium%29_0.jpg?itok=ugT5b-H5","#D3C6B4"
"DB","tafisa","L544 Niagara","https://tafisa.ca/en/our-colours/niagara","https://tafisa.ca/sites/default/files/styles/medium/public/2020-03/Tafisa_L544%28A%29_24X24_72dpi.jpg?itok=eXPbRawB","#D0C8B8"
"DB","tafisa","L590 Love at First Sight","https://tafisa.ca/en/our-colours/love-at-first-sight","https://tafisa.ca/sites/default/files/styles/medium/public/2023-05/L590-12x12_Compress%C3%A9.jpg?itok=-nVrGffC","#D7C9AF"
"DB","tafisa","L540 Summer Breeze","https://tafisa.ca/en/our-colours/summer-breeze","https://tafisa.ca/sites/default/files/styles/medium/public/2020-04/tafisa_L540%28A%29_24X24_72dpi.jpg?itok=rlu35QMj","#DDCDAB"
"DB","tafisa","L546 Mojave","https://tafisa.ca/en/our-colours/mojave","https://tafisa.ca/sites/default/files/styles/medium/public/2020-03/Tafisa_L546%28A%29_24X24_72dpi.jpg?itok=OZNcpEZW","#CAB897"
"DB","tafisa","L555 Maritime Dune","https://tafisa.ca/en/our-colours/maritime-dune","https://tafisa.ca/sites/default/files/styles/medium/public/2020-04/tafisa_L555%28R%29_24X24_72dpi.jpg?itok=BBXyJZll","#D4C5A1"
"DB","tafisa","L581 Sheer Beauty","https://tafisa.ca/en/our-colours/sheer-beauty","https://tafisa.ca/sites/default/files/styles/medium/public/2020-10/L581%28K%29%20Sheer%20Beauty_Beaut%C3%A9%20Naturelle_24X24%20%28Medium%29.jpg?itok=rvPYs8c-","#CCAF83"
