Type,Adjective,Noun,ERP_Code,Note,HEX
"DB","uniboard","113 Super White","https://www.uniboard.com/en/panels/tfl-panels/super-white","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/113_Super%20Blanc_Super%20White/image-thumb__35962__uniboard360x360/113_Super%20Blanc_Super%20White_Dolomite_48x24_37dpi.png&query=","#F9F9F9"
"DB","uniboard","123 Charcoal","https://www.uniboard.com/en/panels/tfl-panels/charcoal","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/123_Charbon_Charcoal/image-thumb__35966__uniboard360x360/123_Charbon_Charcoal_Dolomite_48x24_37dpi.png&query=","#3A3C39"
"DB","uniboard","168 Canadian Grey","https://www.uniboard.com/en/panels/tfl-panels/canadian-grey","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/168_Gris%20Canadien_Canadian%20Grey/image-thumb__35975__uniboard360x360/168_Gris%20Canadien_Canadian%20Grey_Dolomite_48x24_37dpi.png&query=","#C7C9C6"
"DB","uniboard","204 Bourbon Cherry","https://www.uniboard.com/en/panels/tfl-panels/bourbon-cherry","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/204_Cerisier%20Bourbon_Bourbon%20Cherry/image-thumb__35979__uniboard360x360/204_Cerisier%20Bourbon_Bourbon%20Cherry_Dolomite_48x24_37dpi.png&query=","#693F2A"
"DB","uniboard","205 Tobacco Cherry","https://www.uniboard.com/en/panels/tfl-panels/tobacco-cherry","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/205_Cerisier%20Tabac_Tobacco%20Cherry/image-thumb__35984__uniboard360x360/205_Cerisier%20Tabac_Tobacco%20Cherry_Dolomite_48x24_37dpi.png&query=","#915629"
"DB","uniboard","206 Crema Cherry","https://www.uniboard.com/en/panels/tfl-panels/crema-cherry","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/206_Cerisier%20Crema_Crema%20Cherry/image-thumb__35989__uniboard360x360/206_Cerisier%20Crema_Crema%20Cherry_Dolomite_48x24_37dpi.png&query=","#D8B77C"
"DB","uniboard","207 Choco Cherry","https://www.uniboard.com/en/panels/tfl-panels/choco-cherry","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/207_Cerisier%20Choco_Choco%20Cherry/image-thumb__35995__uniboard360x360/207_Cerisier%20Choco_Choco%20Cherry_Dolomite_48x24_37dpi.png&query=","#57361B"
"DB","uniboard","241 Audacity","https://www.uniboard.com/en/panels/tfl-panels/audacity","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/241_Audace_Audacity/image-thumb__36004__uniboard360x360/241_Audace_Audacity_Dolomite_48x24_37dpi.png&query=","#393834"
"DB","uniboard","262 Sunrise Maple","https://www.uniboard.com/en/panels/tfl-panels/sunrise-maple","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/262_%C3%89rable%20Lever%20de%20Soleil_Sunrise%20Maple/image-thumb__35958__uniboard360x360/262_%C3%89rable%20Lever%20de%20Soleil_Sunrise%20Maple_Dolomite_48x24_37dpi.png&query=","#A67146"
"DB","uniboard","263 Sunset Maple","https://www.uniboard.com/en/panels/tfl-panels/sunset-maple","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/263_%C3%89rable%20Coucher%20de%20Soleil_Sunset%20Maple/image-thumb__36008__uniboard360x360/263_%C3%89rable%20Coucher%20de%20Soleil_Sunset%20Maple_Dolomite_48x24_37dpi.png&query=","#723617"
"DB","uniboard","290 Classic Maple","https://www.uniboard.com/en/panels/tfl-panels/classic-maple","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/290_%C3%89rable%20Classique_Classic%20Maple/image-thumb__36013__uniboard360x360/290_%C3%89rable%20Classique_Classic%20Maple_Dolomite_48x24_37dpi.png&query=","#C9A16E"
"DB","uniboard","300 Classic White","https://www.uniboard.com/en/panels/tfl-panels/classic-white","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/300_Blanc%20Classique_Classic%20White/image-thumb__36017__uniboard360x360/300_Blanc%20Classique_Classic%20White_Dolomite_48x24_37dpi.png&query=","#F0F8FA"
"DB","uniboard","313 Classic Chocolate","https://www.uniboard.com/en/panels/tfl-panels/classic-chocolate","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/313_Chocolat%20Classique_Classic%20Chocolate/image-thumb__36021__uniboard360x360/313_Chocolat%20Classique_Classic%20Chocolate_Dolomite_48x24_37dpi.png&query=","#3B3026"
"DB","uniboard","385 Sapelli Mahogany","https://www.uniboard.com/en/panels/tfl-panels/sapelli-mahogany","https://www.uniboard.com/&query=","#cccccc"
"DB","uniboard","505 Arctic White","https://www.uniboard.com/en/panels/tfl-panels/arctic-white","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/505_Blanc%20Arctique_Arctic%20White/image-thumb__36034__uniboard360x360/505_Blanc%20Arctique_Arctic%20White_Dolomite_48x24_37dpi.png&query=","#EDF3F3"
"DB","uniboard","511 HiTeak","https://www.uniboard.com/en/panels/tfl-panels/hiteak","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/511_HiTeck_HiTeak/image-thumb__36043__uniboard360x360/511_HiTeck_HiTeak_Dolomite_48x24_37dpi.png&query=","#7F7160"
"DB","uniboard","555 NovaWhite","https://www.uniboard.com/en/panels/tfl-panels/novawhite","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/555_NovaBlanc_NovaWhite/image-thumb__36060__uniboard360x360/555_NovaBlanc_NovaWhite_Dolomite_48x24_37dpi.png&query=","#F0F4F3"
"DB","uniboard","631 Classic Black","https://www.uniboard.com/en/panels/tfl-panels/classic-black","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/631_Noir%20Classique_Classic%20Black/image-thumb__36069__uniboard360x360/631_Noir%20Classique_Classic%20Black_Dolomite_48x24_37dpi.png&query=","#1C1B17"
"DB","uniboard","744 Inspiration","https://www.uniboard.com/en/panels/tfl-panels/inspiration","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/744_Inspiration_Inspiration/image-thumb__36078__uniboard360x360/744_Inspiration_Inspiration_Dolomite_48x24_37dpi.png&query=","#93744F"
"DB","uniboard","745 Finesse","https://www.uniboard.com/en/panels/tfl-panels/finesse","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/745_Finesse_Finesse/image-thumb__36082__uniboard360x360/745_Finesse_Finesse_Dolomite_48x24_37dpi.png&query=","#5D442C"
"DB","uniboard","766 Cayenne Maple","https://www.uniboard.com/en/panels/tfl-panels/cayenne-maple","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/766_Cayenne%20%C3%A0%20l%27%C3%89rable_Cayenne%20Maple/image-thumb__36095__uniboard360x360/766_Cayenne%20%C3%A0%20l%27%C3%89rable_Cayenne%20Maple_Dolomite_48x24_37dpi.png&query=","#543226"
"DB","uniboard","777 White White","https://www.uniboard.com/en/panels/tfl-panels/white-white","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/777_Blanc%20Blanc_White%20White/image-thumb__36099__uniboard360x360/777_Blanc%20Blanc_White%20White_Dolomite_48x24_37dpi.png&query=","#EAF1F9"
